City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangnirtung,66.1451,-65.7125,-17.64,90,7,1.58,CA,1681071228
1,sao joao da barra,-21.6403,-41.0511,23.05,89,100,5.49,BR,1681071480
2,ilulissat,69.2167,-51.1,-2.99,86,100,0.0,GL,1681071480
3,iqaluit,63.7506,-68.5145,-18.15,65,20,4.63,CA,1681071480
4,castro,-24.7911,-50.0119,19.57,85,64,2.21,BR,1681071256
5,kaeo,-35.1,173.7833,18.68,92,34,4.83,NZ,1681071480
6,komsomolskiy,40.4272,71.7189,14.4,41,100,2.06,UZ,1681071480
7,vaini,-21.2,-175.2,28.09,78,20,1.54,TO,1681071481
8,carnarvon,-24.8667,113.6333,21.65,65,23,4.86,AU,1681071481
9,bambous virieux,-20.3428,57.7575,25.12,94,75,2.06,MU,1681071238
10,samarai,-10.6167,150.6667,27.49,77,99,2.46,PG,1681071481
11,kirensk,57.7853,108.1119,-6.93,94,100,1.75,RU,1681071481
12,thompson,55.7435,-97.8558,1.55,100,100,2.74,CA,1681071247
13,baijiantan,45.6333,85.1833,5.4,54,0,3.79,CN,1681071481
14,guerrero negro,27.9769,-114.0611,19.68,59,6,6.35,MX,1681071260
15,busselton,-33.65,115.3333,15.12,86,100,2.62,AU,1681071482
16,ca mau,9.1769,105.15,25.96,82,95,1.83,VN,1681071482
17,cape town,-33.9258,18.4232,17.99,75,75,4.12,ZA,1681071275
18,road town,18.4167,-64.6167,28.05,65,40,4.12,VG,1681071482
19,nikolskoye,59.7035,30.7861,5.94,98,92,1.77,RU,1681071483
20,saskylakh,71.9167,114.0833,-19.4,100,100,0.57,RU,1681071483
21,saint-augustin,51.226,-58.6502,-0.91,44,100,7.15,CA,1681071484
22,chokurdakh,70.6333,147.9167,-25.57,93,59,3.95,RU,1681071285
23,grand gaube,-20.0064,57.6608,25.21,78,100,1.34,MU,1681071484
24,san patricio,28.017,-97.5169,25.92,57,25,2.78,US,1681071485
25,norman wells,65.282,-126.8329,0.02,69,20,7.72,CA,1681071485
26,tuatapere,-46.1333,167.6833,10.14,76,100,1.72,NZ,1681071485
27,atambua,-9.1061,124.8925,23.0,94,100,2.33,ID,1681071485
28,los chiles,11.0333,-84.7167,34.69,29,22,3.92,CR,1681071486
29,lebu,-37.6167,-73.65,17.57,62,100,3.05,CL,1681071241
30,sulangan,11.1373,123.7228,26.86,79,87,7.11,PH,1681071486
31,bredasdorp,-34.5322,20.0403,15.18,64,0,6.97,ZA,1681071486
